tag,min,max,mid
PA-XACY003-HH,315,,
PA-XACY-001,315,,
PA-XACY-002,315,,
PA-XACY-003,315,,
PA-XACY-004,315,,
PA-XACY005-HH,370,,
PA-XACY007-HH,370,,
PA-XACY-005,370,,
PA-XACY-006,370,,
PA-XACY-007,370,,
PA-XACY-008,370,,
FG-XAPP01-R,,5,
FG-XAPP02-R,,5,
FG-XAPS003-LL,,5,
FG-XATE003,85,,
FG-XATE005,85,,
FG-XATE006,85,,
FG-XATE009,85,,
FG-XATE010,85,,
FG-XATE011,85,,
FG-XATE012,85,,
FG-XALOT,,273,
FG-XALS001-L,,273,
FG-XALS001-LL,,273,
FG-XAMBLOSP-A,,273,
BF-PT01,80,,
BF-PT02,80,,
BF-PT03,80,,
SA-XAPS003-LL,,5,
SA-XATE003,100,,
SA-XATE005,100,,
SA-XATE006,100,,
SA-XATE009,90,,
SA-XATE010,90,,
SA-XATE011,90,,
SA-XATE012,90,,
SA-XALOT,,211,
SA-XALS001-L,,211,
SA-XALS001-LL,,211,
SA-XACY-003,500,,
SA-XACY-004,500,,
SA-XACY-005,500,,
SA-XACY-006,500,,
BF-PT01,254,,
BF-PT02,,-178,
BF-PT03,,-178,
FW-FT01,333.5,,
MS-TE51A,570,,
MS-TE52A,570,,
MS-TE53A,570,,
MS-TE54A,570,,
MS-TE55A,570,,
MS-TE56A,570,,
MS-TE57A,570,,
MS-TE58A,570,,
HR-TE51A,570,,
HR-TE52A,570,,
HR-TE53A,570,,
HR-TE54A,570,,
HR-TE55A,570,,
HR-TE56A,570,,
HR-TE57A,570,,
HR-TE58A,570,,
BE-TE01A,500,,
BE-TE01C,500,,
BE-TE01D,500,,
BE-TE01E,500,,
BE-TE01G,500,,
BE-TE02A,500,,
BE-TE02C,500,,
BE-TE02D,500,,
BE-TE02E,500,,
BE-TE02G,500,,
BE-TE03A,500,,
BE-TE03C,500,,
BE-TE03D,500,,
BE-TE03E,500,,
BE-TE03G,500,,
BE-TE04A,500,,
BE-TE04C,500,,
BE-TE04D,500,,
BE-TE04E,500,,
BE-TE04G,500,,
BE-TE05A,500,,
BE-TE05C,500,,
BE-TE05D,500,,
BE-TE05E,500,,
BE-TE05G,500,,
BE-TE06A,500,,
BE-TE06C,500,,
BE-TE06D,500,,
BE-TE06E,500,,
BE-TE06G,500,,
BE-TE07A,500,,
BE-TE07C,500,,
BE-TE07D,500,,
BE-TE07E,500,,
BE-TE08A,500,,
BE-TE08C,500,,
BE-TE08D,500,,
BE-TE08E,500,,
BE-TE09A,500,,
BE-TE09C,500,,
BE-TE09D,500,,
BE-TE09E,500,,
BE-TE10A,500,,
BE-TE10C,500,,
BE-TE10D,500,,
BE-TE10E,500,,
BE-TE11A,500,,
BE-TE11C,500,,
BE-TE11D,500,,
BE-TE11E,500,,
BE-TE11G,500,,
BE-TE12A,500,,
BE-TE12C,500,,
BE-TE12D,500,,
BE-TE12E,500,,
BE-TE12G,500,,
BE-TE13A,500,,
BE-TE13C,500,,
BE-TE13D,500,,
BE-TE13E,500,,
BE-TE13G,500,,
BE-TE14A,500,,
BE-TE14C,500,,
BE-TE14D,500,,
BE-TE14E,500,,
BE-TE14G,500,,
BE-TE15A,500,,
BE-TE15C,500,,
BE-TE15D,500,,
BE-TE15E,500,,
BE-TE15G,500,,
BE-TE16A,500,,
BE-TE16C,500,,
BE-TE16D,500,,
BE-TE16E,500,,
BE-TE16G,500,,
BE-TE17A,500,,
BE-TE17C,500,,
BE-TE17D,500,,
BE-TE18A,500,,
BE-TE18C,500,,
BE-TE18D,500,,
BE-TE19A,500,,
BE-TE19C,500,,
BE-TE19D,500,,
BE-TE20A,500,,
BE-TE20C,500,,
BE-TE20D,500,,
BE-TE21A,500,,
BE-TE21C,500,,
BE-TE21D,500,,
BE-TE21G,500,,
BE-TE22A,500,,
BE-TE22C,500,,
BE-TE22D,500,,
BE-TE22G,500,,
BE-TE23A,500,,
BE-TE23C,500,,
BE-TE23D,500,,
BE-TE23G,500,,
BE-TE24A,500,,
BE-TE24C,500,,
BE-TE24D,500,,
BE-TE24G,500,,
BE-TE25A,500,,
BE-TE25C,500,,
BE-TE25D,500,,
BE-TE25G,500,,
BE-TE26A,500,,
BE-TE26C,500,,
BE-TE26D,500,,
BE-TE26G,500,,
BE-TE27A,500,,
BE-TE27C,500,,
BE-TE27D,500,,
BE-TE28A,500,,
BE-TE28C,500,,
BE-TE28D,500,,
BE-TE29A,500,,
BE-TE29C,500,,
BE-TE29D,500,,
BE-TE30A,500,,
BE-TE30C,500,,
BE-TE30D,500,,
BE-TE31A,500,,
BE-TE31C,500,,
BE-TE31D,500,,
BE-TE31G,500,,
BE-TE32A,500,,
BE-TE32C,500,,
BE-TE32D,500,,
BE-TE32G,500,,
BE-TE33A,500,,
BE-TE33C,500,,
BE-TE33D,500,,
BE-TE33G,500,,
BE-TE34A,500,,
BE-TE34C,500,,
BE-TE34D,500,,
BE-TE34G,500,,
BE-TE35A,500,,
BE-TE35C,500,,
BE-TE35D,500,,
BE-TE35G,500,,
BE-TE36A,500,,
BE-TE36C,500,,
BE-TE36D,500,,
BE-TE36G,500,,
BE-TE37A,500,,
BE-TE37C,500,,
BE-TE37D,500,,
BE-TE38A,500,,
BE-TE38C,500,,
BE-TE38D,500,,
BE-TE39A,500,,
BE-TE39C,500,,
BE-TE39D,500,,
BE-TE40A,500,,
BE-TE40C,500,,
BE-TE40D,500,,
BE-TE41A,500,,
BE-TE41G,500,,
BE-TE42A,500,,
BE-TE42G,500,,
BE-TE43A,500,,
BE-TE43G,500,,
BE-TE44A,500,,
BE-TE44G,500,,
BE-TE45A,500,,
BE-TE45G,500,,
BE-TE46A,500,,
BE-TE46G,500,,
BE-TE47A,500,,
BE-TE48A,500,,
BE-TE49A,500,,
BE-TE50A,500,,
BE-TE51A,500,,
BE-TE51G,500,,
BE-TE52A,500,,
BE-TE52G,500,,
BE-TE53A,500,,
BE-TE53G,500,,
BE-TE54A,500,,
BE-TE54G,500,,
BE-TE55A,500,,
BE-TE55G,500,,
BE-TE56A,500,,
BE-TE56G,500,,
BE-TE57A,500,,
BE-TE58A,500,,
BE-TE59A,500,,
BE-TE60A,500,,
MB-NN51-ZV13,280,,
STMFLW,,,800
STMFLW%,,,800
